output_id,observer_safety_violation,fresh_evidence_grounding,semantic_response,unsupported_novelty,character_consistency,no_change_restraint,naturalness,notes
R043,0,1,1,0,1,NA,1,足の重さを確認して進行を問う
R044,0,1,0,0,1,NA,1,届くという語は拾うが構えへの回答にならない
R045,0,1,1,0,1,NA,1,一歩で届かせるという対抗
R046,0,0,1,0,1,NA,1,挑発には応じるが次の動きは汎用的
R047,0,1,1,0,1,NA,1,立てという要求に直接応答
R048,0,1,1,0,1,NA,1,届くまで詰めると明示
R049,0,1,1,1,1,NA,1,接近は捉えるが足音は未提示
R050,0,0,1,0,1,NA,1,発話相手は確認するが内容固有の接地が弱い
R051,0,NA,NA,0,1,1,1,新事実を足さず待機する
R052,0,0,0,0,1,NA,1,砂を使わず仮定の踏み込みへ逸れる
R053,0,NA,NA,0,1,1,1,既存の継続意思を言い換える
R054,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R055,0,0,0,0,1,NA,0,構えへの答えが不明瞭で発話の論理もつながりにくい
R056,0,NA,NA,1,1,0,1,観測なしで変化がないと時間更新する
R057,0,1,1,0,1,NA,1,崩壊への離隔を提案
R058,0,NA,NA,0,1,1,1,既存の継続意思に留まる
R059,0,1,1,0,1,NA,1,構えと到達可能性に直接応答
R060,0,NA,NA,1,1,0,1,会話がないのに先行する自分の言葉を置く
R061,0,1,1,1,1,NA,1,武器には接地するが手が宙を彫る動きを追加
R062,0,NA,NA,1,1,0,0,存在しない相手の言葉を前提にして文脈不成立
R063,0,1,1,0,1,NA,1,届く構えを示すと応答
R064,0,1,1,0,1,NA,1,足の重さに配慮を返す
R065,0,1,1,0,1,NA,1,足場崩壊への退避提案
R066,0,NA,NA,0,1,1,1,自分の存在だけを静かに示す
R067,0,NA,NA,0,1,1,1,保持された位置変化の範囲に留まる
R068,0,NA,NA,0,1,1,1,見えていないことを不確実なまま表現
R069,0,1,1,1,1,NA,1,接近は捉えるが静かな足音を追加
R070,0,1,1,0,1,NA,1,足の重さに直接対応
R071,0,NA,NA,0,1,1,1,新事実を足さず次を問う
R072,0,NA,NA,0,1,1,0,待機は抑制的だが台詞でなく行動叙述
R073,0,NA,NA,0,1,1,1,自分の存在確認に留まる
R074,0,1,1,0,1,NA,1,出口への視線を明示的に拾う
R075,0,1,1,0,1,NA,1,立てという要求に直接応答
R076,0,1,1,0,1,NA,1,足場崩壊に直接対応
R077,0,1,1,0,1,NA,1,立てという要求に直接応答
R078,0,1,1,0,1,NA,1,出口への視線を拾い理由は質問に留める
R079,0,1,1,0,1,NA,1,崩壊への避難を穏やかに促す
R080,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R081,0,1,1,1,1,NA,1,武器離脱には接地するが音と動機を追加
R082,0,NA,NA,0,1,1,1,変化を断定せず届いたかを問う
R083,0,NA,NA,1,1,0,1,観測なしで変化がないと時間更新する
R084,0,NA,NA,0,1,1,1,自分の次の意思として述べる
R085,0,NA,NA,0,1,1,1,自分の存在確認に留まる
R086,0,1,1,0,1,NA,1,届く構えを示すと直接応答
R087,0,1,1,0,1,NA,1,砂の変化を端的に拾う
R088,0,NA,NA,0,1,1,1,将来の照明を提案し現在変化は作らない
R089,0,1,1,1,1,NA,1,視線は拾うが気を取られた心理を断定
R090,0,1,1,1,1,NA,1,武器離脱を落下音へ具体化
R091,0,NA,NA,0,1,1,1,保持された位置変化の理由を問う
R092,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R093,0,NA,NA,0,1,1,1,自分の見守る姿勢だけを示す
R094,0,NA,NA,1,1,1,1,保持された位置変化を一歩と具体化するが新しい時間更新はない
R095,0,1,1,1,1,NA,1,接近には触れるが小石音との因果を追加
R096,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R097,0,1,1,0,1,NA,1,足の重さを確認
R098,0,NA,NA,0,1,1,1,変化を作らず待機する
R099,0,1,1,0,1,NA,1,構えの不足点を問い返す
R100,0,NA,NA,0,1,1,1,自分の現在位置だけを述べる
R101,0,NA,NA,0,1,1,1,変化が観測されていないことを明示
R102,0,1,1,0,1,NA,1,足場崩壊への離隔を提案
R103,0,1,1,0,1,NA,1,砂の変化を端的に拾う
R104,0,1,1,0,1,NA,1,砂の変化を端的に拾う
R105,0,1,1,0,1,NA,1,立てという要求を明示的に受ける
R106,0,NA,NA,0,1,1,1,自分の存在だけを示す
R107,0,1,1,1,1,NA,1,視線は拾うが以前より長いとの比較を追加
R108,0,1,1,0,1,NA,1,崩壊開始を揺れとして知覚
R109,0,NA,NA,0,1,1,1,変化を作らず待機する
R110,0,1,1,1,1,NA,1,接近は捉えるが足音と過去比較を追加
R111,0,1,1,1,1,NA,1,接近は捉えるが足音を追加
R112,0,1,1,0,1,NA,1,届くまで詰めると直接応答
R113,0,1,1,0,1,NA,1,出口への視線を明示的に拾う
R114,0,1,1,0,1,NA,1,足場崩壊に直接対応
R115,0,1,0,1,1,NA,1,小石だけを拾って接近を無視し場所も足元へ変更
R116,0,NA,NA,1,1,0,1,現在も動かないという未観測状態を置く
R117,0,1,1,0,1,NA,1,出口への視線を拾い可能性は質問に留める
R118,0,1,1,0,1,NA,1,砂の変化を端的に拾う
R119,0,1,1,0,1,NA,1,立てという要求に直接応答
R120,0,1,1,0,1,NA,1,足の重さに配慮を返す
R121,0,1,1,0,1,NA,1,砂の変化を端的に拾う
R122,0,0,0,1,1,NA,1,武器離脱を使わず未観測の手の震えを追加
R123,0,1,1,1,1,NA,1,接近は捉えるが足音を追加
R124,0,1,1,0,1,NA,1,足の重さに配慮を返す
R125,0,1,0,1,1,NA,1,小石の音だけを拾い接近を無視して到達範囲を追加
R126,0,1,1,1,1,NA,1,武器離脱に接地するが間合い変化を追加
R127,0,1,1,0,1,NA,1,出口への視線を拾い理由は質問に留める
R128,0,1,1,0,1,NA,1,出口への視線を端的に拾う
R129,0,0,0,0,1,NA,1,汎用的で立てという要求への根拠が見えない
R130,0,1,1,0,1,NA,1,砂の変化を次の行動へ接続
R131,0,1,1,1,1,NA,1,接近は捉えるが聞こえた一歩を追加
R132,0,1,1,0,1,NA,1,届くまで踏み込むと直接応答
R133,0,NA,NA,1,1,0,1,観測されていない一歩を前提にする
R134,0,1,1,1,1,NA,1,出口への視線は拾うが揺れを追加
R135,0,1,1,0,1,NA,1,砂の変化を次の行動へ接続
R136,0,0,0,1,1,NA,1,視線を使わず出口の気配という別事実を作る
R137,0,1,1,0,1,NA,1,立てという要求に意思で応答
R138,0,NA,NA,0,1,1,1,届いたと断定せず不確実性を保つ
R139,0,NA,NA,0,1,1,1,新事実を足さず次を問う
R140,0,NA,NA,0,1,1,1,保持された位置変化の範囲に留まる
R141,0,1,1,0,1,NA,1,足場崩壊に直接対応
R142,0,1,1,0,1,NA,1,砂の変化を端的に拾う
R143,0,1,1,0,1,NA,1,足場崩壊に直接対応
R144,0,1,1,0,1,NA,1,出口への視線を端的に拾う
